Player Number,1. A person's family is the most important thing in life.,"2. Even if something bad is about to happen to me, I rarely experience fear or nervousness.",3. I go out of my way to get things I want.,"4. When something good I am expecting doesn’t happen, I feel less enthusiastic about life for a while.",5. When I'm doing well at something I love to keep at it.,6. I'm always willing to try something new if I think it will be fun.,7. How I dress is important to me.,"8. When I get something I want, I feel excited and energized.",9. Criticism or scolding hurts me quite a bit.,10. When I want something I usually go all-out to get it.,11. I will often do things for no other reason than that they might be fun.,"12. When I don’t get what I want, I lose interest in my day-to-day tasks.",13. It's hard for me to find the time to do things such as get a haircut.,14. If I see a chance to get something I want I move on it right away.,15. I feel pretty worried or upset when I think or know somebody is angry at me.,16. When I see an opportunity for something I like I get excited right away.,17. If I have been working hard at something I lose motivation if I don’t get the reward I deserve.,18. I often act on the spur of the moment.,"19. If I think something unpleasant is going to happen I usually get pretty ""worked up.""",20. I often wonder why people act the way they do.,"21. When good things happen to me, it affects me strongly.",22. I feel worried when I think I have done poorly at something important.,"23. When an event I am looking forward to is cancelled, I lose the energy to arrange an alternative.",24. I crave excitement and new sensations.,"25. When I go after something I use a ""no holds barred"" approach.",26. I have very few fears compared to my friends.,27. It would excite me to win a contest.,"28. When circumstances prevent me from achieving an important goal, I find it hard to keep trying.",29. I worry about making mistakes.,BAS Drive,BAS Fun Seeking,BAS Reward Responsiveness,BIS,FNR
1,1,3,2,2,1,2,3,1,2,3,2,1,1,1,1,1,1,2,2,1,1,1,1,3,3,3,1,2,2,11,11,20,23,18
2,1,3,2,3,1,1,2,1,2,2,4,4,4,2,2,2,1,2,2,4,3,1,4,4,3,1,1,4,4,11,9,17,18,9
3,1,2,2,3,2,1,3,2,4,2,1,2,2,3,2,2,2,4,4,3,3,2,1,3,3,2,1,2,3,10,11,15,14,15
4,1,2,1,3,1,1,1,1,3,1,3,3,3,2,3,2,2,3,3,2,2,2,3,2,2,3,1,2,2,14,11,18,17,12
5,1,3,2,3,1,1,1,1,2,2,3,3,4,2,2,2,3,2,1,4,1,1,4,2,3,3,2,2,1,11,12,18,24,10
6,3,3,2,3,1,2,3,1,1,1,2,3,4,2,1,2,3,3,2,1,1,2,4,3,3,3,3,1,1,12,10,17,24,11
7,3,4,3,2,3,2,3,2,1,3,2,2,1,2,1,1,1,1,2,1,2,1,3,2,2,4,1,1,1,10,13,16,27,16
8,3,4,3,4,1,1,2,2,2,3,1,2,2,2,1,1,3,1,1,3,1,1,3,3,3,4,1,2,1,9,14,19,27,11
9,3,2,4,4,1,1,4,2,1,4,1,2,3,4,1,3,2,1,3,4,3,1,2,2,3,2,1,3,2,5,15,15,21,12
10,1,4,2,1,1,1,1,1,3,3,3,3,1,3,1,1,2,3,2,3,2,1,3,3,3,3,1,3,1,9,10,19,24,13
11,1,4,2,1,1,2,1,1,1,2,3,3,2,2,1,1,2,3,1,2,2,1,2,3,4,4,2,2,1,10,9,18,28,15
12,1,4,2,1,1,1,2,1,1,2,3,3,2,3,1,3,2,3,2,1,1,1,2,3,3,3,2,2,1,10,10,17,26,15
13,1,3,1,3,1,1,2,2,4,1,1,4,4,3,3,2,3,1,3,1,2,1,3,2,3,2,1,4,2,12,15,17,17,8
14,3,4,4,1,2,1,2,1,1,3,1,4,1,3,1,2,1,1,2,1,3,1,3,1,4,3,1,3,1,6,16,16,26,13
15,1,3,2,2,2,1,2,2,3,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,3,3,2,2,12,13,14,20,14
16,1,3,2,2,2,1,1,1,3,2,3,3,4,1,3,1,2,2,2,1,1,2,3,2,3,2,1,3,2,12,12,19,18,12
17,2,3,2,3,1,1,2,2,4,2,1,4,4,3,3,2,2,1,4,1,3,1,4,4,3,2,1,2,4,10,13,16,14,10
18,1,4,3,3,1,2,3,2,2,2,2,3,3,2,1,2,2,3,2,2,2,2,2,3,3,3,2,2,2,10,10,16,23,13
19,3,3,3,2,1,2,2,1,2,3,3,4,3,3,4,2,3,3,1,2,2,2,4,3,3,2,2,3,1,8,9,17,20,9
20,1,2,1,3,1,2,2,2,3,2,3,4,4,3,4,2,3,3,3,3,2,2,3,3,3,2,2,3,2,11,9,16,15,9