Player Number,Core - Competence,Core - Sensory and Imaginative Immersion,Core - Flow,Core - Tension/Annoyance,Core - Challenge,Core - Negative affect,Core - Positive affect,Post-game - Positive Experience,Post-game - Negative Experience,Post-game - Tiredness,Post-game - Returning to Reality
1,"3,6","2,833333333",4,"0,6666666667","3,2",0,4,"2,666666667",0,"0,5","1,333333333"
2,1,"1,5",3,"2,666666667","2,8",0,3,"1,333333333","1,166666667",0,"0,3333333333"
3,"3,2",3,"2,8",0,"1,4",0,"3,8","2,666666667","0,1666666667",0,"0,6666666667"
4,"2,4","3,666666667","3,4","0,6666666667","2,2","0,25",3,"2,5",0,0,"0,3333333333"
5,2,"2,5","3,4",1,"1,8",0,"3,4","2,333333333","0,1666666667","1,5","0,3333333333"
6,"2,8","2,333333333","3,6","1,333333333","2,6",0,"3,2",2,"0,1666666667",1,1
7,"1,6","2,833333333","2,8","2,666666667","2,4","0,75","2,8","1,833333333","0,8333333333","0,5","1,666666667"
8,"2,4",4,"3,4","0,6666666667","2,8",0,4,3,"0,8333333333","0,5",2
9,"2,6","2,166666667","2,8","0,3333333333","1,8",1,4,"2,833333333","0,1666666667",0,1
10,"2,4",2,"2,4",1,"2,6","0,75","2,8","1,666666667","0,3333333333",0,0
11,"2,4","3,166666667","2,6","0,6666666667",2,"0,5","3,4",2,0,0,"0,3333333333"
12,"2,6","2,166666667","3,8","1,333333333","3,2","0,75","3,2","2,166666667","1,333333333",1,0
13,2,"1,833333333",1,"0,6666666667","2,2","1,25","2,8","0,3333333333","0,3333333333",0,0
14,"2,8","3,333333333",3,0,"2,6","0,5","3,6",2,"1,166666667","0,5","1,333333333"
15,"2,8","1,833333333","2,2",1,"1,8","1,25",2,"1,5",2,"1,5",1
16,"3,6","3,666666667","3,8",1,"2,8",1,"3,6","2,666666667","1,333333333","2,5","1,333333333"
17,3,"2,166666667","2,8",1,"1,6",1,"2,8","2,5","0,5","0,5","0,6666666667"
18,"0,6",2,"2,4","1,666666667","2,2","0,25","2,2","0,8333333333","0,5","0,5","1,333333333"
19,2,"3,166666667","3,2","1,666666667",2,"0,5","3,4","2,5","0,1666666667",0,"0,6666666667"
20,"2,8","2,833333333","2,8",0,"1,6","0,25","3,2","2,333333333",0,"0,5",1