Player Number,Runs/Deaths,Total Chambers,"Avg Chambers 
per run","Megaera 
Encounters",,"Self-reported Experience: 
0 - Beginner
1 - Intermediate
2 - Advanced","Self-reported adverse reaction: 
0 - No adverse reaction previously
1 - Previous adverse reactions"
1,4,32,8,1,,2,1
2,7,28,4,0,,0,0
3,4,35,"8,75",1,,2,1
4,4,24,6,0,,1,0
5,6,26,"4,33",0,,0,0
6,3,21,7,0,,2,1
7,5,37,"7,4",0,,1,0
8,3,26,"8,67",1,,2,1
9,4,31,"7,75",0,,2,1
10,6,22,"3,67",0,,0,0
11,5,30,6,0,,2,0
12,4,29,"7,25",1,,2,1
13,6,31,"5,167",0,,2,1
14,3,34,"11,33",1,,2,1
15,6,25,"4,167",0,,1,1
16,6,36,6,1,,1,1
17,3,39,13,2,,2,1
18,5,18,"3,6",0,,0,0
19,3,29,"9,67",0,,2,1
20,7,31,"4,428",0,,2,0